ID	score	hw2a	hw2b	hw2c	hw2d	hw2e	hw2f
0410731	50.0	pass	 0/3	 0/3	 0/3	pass	pass
0411036	83.33333333333334	pass	pass	pass	pass	 2/3	pass
0416062	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0517062	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0611031	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0611103	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0611234	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0611289	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0612019	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0613138	33.33333333333333	 0/1	pass	pass	 0/3	 2/3	 1/4
0613457	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0616068	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0616086	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0616234	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0617012	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0713223	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716002	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716004	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716006	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716008	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716010	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716011	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716012	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716014	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716016	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716018	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716022	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716023	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716024	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716026	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716027	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716028	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716030	0.0	cFile	cFile	cFile	cFile	cFile	cFile
0716032	0.0	cFile	cFile	cFile	cFile	cFile	cFile
